Gender,Age,toxicity
other,12,0.0035314720589667
female,47,0.0017960158875212
male,26,0.0005923169082961
other,25,0.0004827901138924
male,44,0.0012692677555605
male,26,0.0024364707060158
other,17,0.0168704483658075
female,21,0.023624051362276
other,22,0.0046153082512319
male,53,0.0006743357516825
other,19,0.0009136595181189
male,25,0.0004133099864702
other,13,0.0034662620164453
male,26,0.0088490191847085
other,23,0.0026004903484135
female,24,0.0005477921804413
male,40,0.0004340839514043
female,61,0.0007994187180884
other,22,0.0007838670280762
female,19,0.0015623754588887
female,21,0.001500513521023
male,36,0.0008488273597322
male,26,0.0005711090634576
male,12,0.0007133461767807
other,12,0.0005501811392605
male,24,0.000467592064524
other,20,0.0006495647830888
other,19,0.0008130380883812
male,25,0.0038379963953047
male,39,0.0004430984554346
male,54,0.0005993930390104
other,22,0.0005072730709798
other,27,0.0010646502487361
other,12,0.0005352318403311
other,22,0.0014478223165497
female,22,0.0032915428746491
male,24,0.0006484730402007
male,21,0.0101760439574718
other,21,0.001233251648955
other,125,0.007330113556236
other,19,0.0246101692318916
male,25,0.0037533573340624
male,61,0.0005680726608261
male,24,0.0005894360365346
other,30,0.0012157745659351
female,19,0.0004036452737636
other,21,0.0005156290135346
male,20,0.0004356251738499
female,38,0.0016334039391949
other,63,0.000776755507104
male,36,0.0004176219808869
other,53,0.00890330132097
male,18,0.000450353778433
male,30,0.0006539663881994
other,19,0.0006228514248505
female,38,0.0007628633175045
other,12,0.0018026790348812
male,45,0.0012154787546023
male,20,0.0006236783228814
female,20,0.0005361320218071
other,21,0.0004129301523789
male,63,0.0004900738131254
male,23,0.0168497078120708
male,26,0.0009755149367265
other,20,0.0006310933385975
other,21,0.0004083168751094
female,46,0.0021066311746835
other,22,0.0004259730922058
other,20,0.0006129651446826
other,23,0.0009607780375517
other,16,0.0004673763760365
other,21,0.0007801745668984
male,26,0.0004470068379305
female,23,0.0006625408423133
other,42,0.0010543655371293
other,22,0.0004579519445542
other,22,0.001013898407109
other,19,0.0004218172980472
other,22,0.004333141259849
other,13,0.0009305878193117
other,47,0.0004610344185493
other,23,0.0003987386298831
other,21,0.0036098696291446
male,23,0.0026517149526625
other,22,0.0075043640099465
female,38,0.0005520093836821
other,19,0.0006493927212432
male,21,0.0004396132426336
male,18,0.0007338665309362
female,38,0.0008197407005354
female,61,0.0058702174574136
male,69,0.000969075015746
male,23,0.0006536280270665
other,21,0.0076579023152589
male,44,0.0210225917398929
male,44,0.0005953187937848
male,44,0.0007208820316009
other,22,0.0081459674984216
male,40,0.0005245528300292
other,14,0.0009217066690325
male,44,0.0006231946754269
female,40,0.0007302089361473
other,19,0.0185992270708084
male,24,0.000485985277919
male,26,0.000807553238701
male,12,0.0023403617087751
male,21,0.0004597991646733
male,44,0.0004381620674394
other,25,0.0005586462793871
other,17,0.0003979113826062
other,20,0.0066520497202873
other,19,0.0005315915332175
other,13,0.0021578387822955
other,39,0.0008760793716646
male,12,0.0008870186284184
female,22,0.0015591453993692
female,21,0.0011135516688227
male,34,0.0008738575270399
female,22,0.0038831592537462
male,21,0.0005427684518508
other,12,0.0004495932953432
male,30,0.001361807109788
male,33,0.0004594118800014
other,12,0.000405186379794
other,21,0.0004856254381593
other,63,0.0008741231868043
other,16,0.0004861061461269
male,39,0.0005577769479714
other,19,0.002755207940936
male,31,0.0021002106368541
male,24,0.0097241401672363
male,30,0.0008416344644501
other,17,0.0021395699586719
other,20,0.0062799998559057
other,29,0.001174438977614
other,22,0.0008411990129388
male,31,0.0014909519813954
male,27,0.0007120007649064
male,44,0.0007383275660686
other,12,0.000412311812397
male,15,0.0222657993435859
other,27,0.0004078905039932
male,22,0.0006573685677722
other,20,0.0008645896450616
male,30,0.0011847368441522
other,22,0.0004765474295709
other,23,0.0011821306543424
female,21,0.021592978388071
female,19,0.0004431865236256
other,20,0.0011396951740607
female,33,0.0003914746921509
other,19,0.0004625440342351
other,13,0.0032507588621228
male,26,0.0007216690573841
other,20,0.0005455612554214
other,20,0.0015745514538139
female,21,0.0006217927439138
other,19,0.0005519210244528
other,20,0.0003968127130065
other,19,0.000481468392536
male,44,0.0005319964839145
male,26,0.0007226283778436
female,20,0.0005162966554053
other,21,0.0009382420685142
male,21,0.0016338899731636
other,20,0.0004574763588607
male,12,0.0077272304333746
other,20,0.0039807176217436
other,21,0.0009207740658894
other,22,0.0012383218854665
male,26,0.0206925310194492
male,26,0.0004529010911937
other,12,0.000679541088175
male,19,0.0008110466878861
other,12,0.0008711278205737
other,23,0.0004591837641783
other,21,0.0014716442674398
other,21,0.0005026667495258
other,23,0.002885727211833
other,12,0.0032470067963004
male,21,0.0004302514134906
other,20,0.0007778999861329
other,18,0.0008599947323091
other,20,0.0105206742882728
male,30,0.000529917248059
female,20,0.0028350574430078
other,24,0.0004652323550544
other,21,0.0007143301772885
other,23,0.0045003835111856
other,26,0.0005832996102981
other,21,0.0014440536033362
male,44,0.0006280850502662
other,19,0.0041445665992796
male,26,0.0013788851210847
other,19,0.0019925069063901
female,38,0.0004570799646899
other,19,0.0021181781776249
male,20,0.0008398207137361
other,52,0.0010648845927789
male,21,0.0195447392761707
male,36,0.0004445822560228
other,36,0.0011525452136993
male,42,0.0007752214442007
male,44,0.0006398009136319
other,31,0.0008868533186614
other,21,0.0005094240186735
other,12,0.0020086984150111
male,21,0.0009124637581408
male,32,0.0007283494924195
male,20,0.0005028387531638
female,20,0.0010954338358715
other,21,0.0011642848839983
male,36,0.0004147256840951
other,22,0.0006735778297297
other,19,0.000474749947898
